"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Recipient(s)",
"Costa Rica","","3.59","6.05","9.3","10.12","13.96","15.51","14.13","14.92","11.91","16.51","15.01","16.5","18.62","23.31","23.01","30.03","24.34","25.19","50.61","55.21","64.43","54.3","79.91","251.51","217.06","279.29","194.58","227.77","187.5","226.13","226.98","174.06","141.88","101.25","77.01","32.09","-10.41","-7.07","18.84","-8.39","13.2","3.14","3.15","29.2","14.87","26.22","22.12","55.15","69.41","106.12","95.07","31.28","28.46","32.82","54.55","111.3","100.72"
"Cote d'Ivoire","","0.13","3.37","9","8.65","39.01","38.62","35.95","34.02","44.84","49.66","52.58","51.07","48.28","63.32","75.62","99.68","107.45","103.95","129.55","159.92","209.8","123.05","136.43","155.32","122.99","117.36","174.42","240.48","424.73","394.56","686.4","629.9","755.7","763.63","1593.7","1212.44","964.77","447","967.27","447.78","350.92","186.08","1067.5","253.7","160.71","91.28","247.14","171.08","584.63","2403.01","845.31","1437.71","2908.35","1273.46","925.04","653.06","658.49"
"Croatia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","..","109.66","53.28","133.31","40.36","39.38","48.47","65.51","112.13","130.6","120.4","119.66","123.46","196.51","162.91","241.06","168.83","131.55","..","..","..","..","..",".."
"Cuba","","0.23","0.19","0.04","-0.17","0.44","0.58","0.73","0.74","0.65","1.31","1.82","2.48","3.57","5.19","15.23","19.63","45.66","44.93","47.99","47.9","45.28","27.37","35.1","36.84","35.77","41.99","41.78","48.88","61.26","56.84","51.81","36.93","24.8","43.9","47.12","63.63","57.22","65.4","80.15","59.39","45.07","54.65","62.11","76.54","99.47","90.14","82.21","96.55","125.51","112.56","132.45","87.28","85.76","99.46","261.54","552.73","2677.75"
"Cyprus","","24.09","20.23","15.65","11.16","5.24","6.47","1.63","1.41","0.96","3.74","5.86","5.98","7.3","8.08","21.25","31.15","56.14","95.01","47.61","29.91","52.68","43.81","30.88","18.57","16.82","36.86","34.98","41.32","44.21","40.74","38.43","39.76","26.17","33.8","44.03","21.43","22.58","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Democratic People's Republic of Korea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","50","..","..","..","..","..","..","5.51","5.43","16.4","9.04","8.31","7.73","8.62","10.59","14.06","5.66","13.48","25.57","88.43","105.26","200.93","73.55","117.89","264.4","131.14","160.85","87.45","55.18","99.58","206.23","65.22","78.83","118.49","97.87","109.1","153.53","131.43","119.65"
"Democratic Republic of the Congo","","82.09","91.16","120.97","111.5","127.02","142.07","93.11","93.8","76.66","83.75","89.36","107.27","121.69","138.92","180.09","258.08","193.12","259.6","315.64","415.36","431.23","392.15","346.47","310.3","300.32","305.36","421.56","673.73","551.73","730.11","895.79","475.28","268.52","177.82","244.81","194.75","166.16","157.88","127.02","135.51","178.44","246.64","1176.17","5417.03","1919.15","1881.8","2197.24","1348.27","1766.9","2362.35","3483.65","5526.46","2846.17","2584.01","2400.02","2599.04","2107.44"
"Djibouti","","..","..","..","..","..","..","6.47","9.75","9.71","10.52","11.83","10.65","13.35","19.48","29.06","34.4","28.13","46.23","104.4","23.18","73.04","64.51","58.82","65.43","102.09","81.39","114.93","105.3","92.6","75.02","207.01","107.16","112.19","134.43","128.57","105.56","97.08","85.65","80.98","75.15","72.24","59.4","74.1","79.26","64.33","74.17","115.38","112.67","140.82","165.83","132.03","141.4","148.46","149.25","166.11","169.56","185.12"
"Dominica","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.09","3.58","7.87","4.33","4.95","7.11","9.05","17.61","14.76","16.76","9.92","16.22","16.59","11.72","15.88","17.88","23.86","19.64","17.63","12.7","8.91","19.59","25","43.13","14.56","19.35","9.93","15.28","19.69","29.6","10.97","29.4","21.11","19.66","19.45","21.38","35.95","32.45","24.44","25.68","20.08","16.29","11.71","8.5"
"Dominican Republic","","0.17","0.15","20.99","48.02","23.23","78.46","52.12","59.92","63.91","43.51","43.2","31.51","29.47","25.43","20.92","29.87","32.94","33.55","49.8","77.64","124.73","104.93","135.58","99.35","187.74","206.93","91.82","129.01","118.1","143.34","101.66","67.72","65.58","-1.26","61.87","119.96","100.11","71.61","118.31","189.83","56.19","106.98","144.96","68.79","84.56","76.06","54.41","124.22","157.07","120.15","176.58","224.74","260.12","146.91","166.21","279.96","176.71"
"East African Community","","..","..","..","..","..","..","16.4","10.77","-0.07","2.51","3.44","17.59","11.25","11.61","16.01","21.86","19.17","6.7","12.52","3.41","5.45","4.95","4.17","5.23","2.51","10.83","1.84","1.2","0.76","..","..","..","-0.26","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Ecuador","","5.87","10.39","12.58","17.56","20.61","20.76","26.94","28.13","24.57","19.95","23.27","26.65","24.24","35.78","45.52","69.17","74.76","54.15","44","68.81","45.8","58.19","52.39","62.02","134.82","134.8","145.54","227.21","171.56","161.56","159.32","237.47","239.78","234.94","210.9","224.3","251.63","153.46","176.45","148.98","147.21","176.8","223.49","181.85","159.96","232.48","190.68","213.96","229.16","202.47","150.95","164.56","148.06","150.52","165.05","318.16","243.49"
